epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.864277,5056,15168,17.957,18.026,0.0002,903.98,4241288,Salsa2-NACT,cc20238f521fa642,789,2.062901,0.446126,0.0,0.059733,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,2048,6144,281.564,844.7,17.957,79,22.804
1,158,1.942578,10112,30336,18.227,40.498,0.0003975,781.77,4241288,Salsa2-NACT,cc20238f521fa642,789,1.879446,0.447591,0.004395,0.422201,0.004395,0.197754,0.1,79.8154,66.0,"[0.1978, 0.3794, 0.5542, 0.6606, 0.7598, 0.8696, 0.9302, 0.959, 0.9834, 1.0]",0.214355,61.3359,58.5,0.0,2048,6144,279.461,838.4,36.184,158,45.453
2,237,1.879484,15168,45504,18.385,63.225,0.0004990932474140245,726.52,4241288,Salsa2-NACT,cc20238f521fa642,789,1.865311,0.442383,0.003906,0.439128,0.003906,0.197754,0.1,69.3848,66.0,"[0.1978, 0.3721, 0.5698, 0.7559, 0.9062, 0.9624, 0.9688, 0.9819, 0.9946, 1.0]",0.203125,62.9453,63.0,0.0,2048,6144,277.958,833.9,54.569,237,67.968
3,316,1.864966,20224,60672,18.524,85.874,0.000491135059176067,727.78,4241288,Salsa2-NACT,cc20238f521fa642,789,1.854279,0.448568,0.002441,0.347168,0.002441,0.110352,0.1,120.2002,120.0,"[0.1104, 0.2202, 0.3159, 0.4199, 0.5195, 0.6382, 0.729, 0.8228, 0.9287, 1.0]",0.181641,64.0879,63.0,0.0,2048,6144,276.689,830.1,73.093,316,90.58
4,395,1.859186,25280,75840,18.402,108.379,0.00047522039359225454,735.28,4241288,Salsa2-NACT,cc20238f521fa642,789,1.854069,0.448568,0.004395,0.449219,0.004395,0.203613,0.1,66.7539,59.0,"[0.2036, 0.4136, 0.6245, 0.7529, 0.8608, 0.9585, 0.9995, 0.9995, 0.9995, 1.0]",0.203613,61.7812,59.0,0.000488,2048,6144,276.3,828.9,91.495,395,113.029
5,474,1.856728,30336,91008,18.78,131.188,0.00045187546108519993,665.92,4241288,Salsa2-NACT,cc20238f521fa642,789,1.875793,0.453613,0.004395,0.457031,0.004395,0.196777,0.1,72.8945,62.5,"[0.1968, 0.3979, 0.5947, 0.708, 0.8091, 0.9204, 0.9824, 0.9849, 0.9897, 1.0]",0.201172,63.8218,61.0,0.005859,2048,6144,275.095,825.3,110.275,474,135.857
6,553,1.775122,35392,106176,18.21,153.395,0.0004218721501206523,697.81,4241288,Salsa2-NACT,cc20238f521fa642,789,1.672435,0.59668,0.009766,0.528483,0.009766,0.355957,0.1,54.6533,36.0,"[0.356, 0.6631, 0.8115, 0.8696, 0.8833, 0.895, 0.9204, 0.9424, 0.9556, 1.0]",0.391113,39.5244,33.0,0.009277,2048,6144,275.457,826.4,128.485,553,158.152
7,632,1.611261,40448,121344,18.424,175.962,0.0003862025051031447,696.89,4241288,Salsa2-NACT,cc20238f521fa642,789,1.571265,0.645182,0.009766,0.479004,0.009766,0.479004,0.1,39.1157,27.0,"[0.479, 0.8105, 0.9204, 0.9331, 0.939, 0.9409, 0.9526, 0.9629, 0.9727, 1.0]",0.505859,29.0942,25.0,0.000488,2048,6144,275.327,826.0,146.909,632,180.815
8,711,1.521893,45504,136512,18.316,198.506,0.0003460459249261226,710.64,4241288,Salsa2-NACT,cc20238f521fa642,789,1.495759,0.65918,0.008789,0.544434,0.008789,0.459473,0.1,45.1826,27.0,"[0.4595, 0.8076, 0.9043, 0.9141, 0.9141, 0.9141, 0.9141, 0.915, 0.9243, 1.0]",0.535156,26.1797,23.5,0.0,2048,6144,275.406,826.2,165.225,711,203.167
9,790,1.484777,50560,151680,18.556,221.1,0.00030273016674001743,801.3,4241288,Salsa2-NACT,cc20238f521fa642,789,1.467559,0.666992,0.01709,0.587402,0.01709,0.667969,0.1,28.7876,17.0,"[0.668, 0.9424, 0.9531, 0.9536, 0.9536, 0.9536, 0.9541, 0.9561, 0.9604, 1.0]",0.70752,18.5957,16.0,0.0,2048,6144,275.109,825.3,183.782,790,225.823
