epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,step,wall_time_sec
10,869,1.847947,55616,166848,142.68,1718.002,0.00025768744432908117,320.38,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.846691,0.441406,0.004395,0.446452,0.004395,0.155273,0.1,93.4253,79.5,"[0.1553, 0.3115, 0.4746, 0.6016, 0.6982, 0.7935, 0.8667, 0.9131, 0.9624, 1.0]",0.192871,62.6821,64.0,0.0,2048,6144,32.372,97.1,869,2193.037
11,948,1.846646,60672,182016,143.321,1861.323,0.00021240707268209953,225.41,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.848313,0.440104,0.004883,0.349284,0.004883,0.125488,0.1,118.8276,119.0,"[0.1255, 0.2251, 0.3311, 0.4282, 0.5283, 0.6299, 0.7251, 0.8257, 0.9199, 1.0]",0.205566,62.7241,62.0,0.0,2048,6144,32.596,97.8,948,2374.714
12,1027,1.846268,65728,197184,142.314,2003.637,0.0001683862245404622,304.02,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.846277,0.448242,0.007324,0.448405,0.007324,0.208496,0.1,69.7993,62.0,"[0.2085, 0.4097, 0.6025, 0.7295, 0.8286, 0.9253, 1.0, 1.0, 1.0, 1.0]",0.208496,62.3271,62.0,0.0,2048,6144,32.804,98.4,1027,2556.926
13,1106,1.845082,70784,212352,147.782,2151.419,0.00012708042713359082,303.38,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.84627,0.445801,0.007324,0.448405,0.007324,0.208496,0.1,69.7993,62.0,"[0.2085, 0.4097, 0.6025, 0.7295, 0.8286, 0.9253, 1.0, 1.0, 1.0, 1.0]",0.208496,62.3271,62.0,0.0,2048,6144,32.901,98.7,1106,2742.965
14,1185,1.844463,75840,227520,147.092,2298.511,8.985543590229906e-05,279.46,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.844267,0.44694,0.004395,0.435059,0.004395,0.190918,0.1,74.9106,67.0,"[0.1909, 0.376, 0.5732, 0.7021, 0.8066, 0.9058, 0.9712, 0.9805, 0.9907, 1.0]",0.200195,62.9497,64.0,0.0,2048,6144,32.995,99.0,1185,2928.822
15,1264,1.843831,80896,242688,148.492,2447.003,5.794207648124534e-05,154.84,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.84316,0.446126,0.003906,0.350423,0.003906,0.104004,0.1,123.6177,124.0,"[0.104, 0.2075, 0.3105, 0.4126, 0.5063, 0.6069, 0.709, 0.8062, 0.9009, 1.0]",0.203125,62.6885,62.0,0.0,2048,6144,33.059,99.2,1264,3119.603
16,1343,1.843461,85952,257856,165.048,2612.051,3.239554806764178e-05,283.98,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.843045,0.450358,0.003906,0.350423,0.003906,0.104004,0.1,123.6177,124.0,"[0.104, 0.2075, 0.3105, 0.4126, 0.5063, 0.6069, 0.709, 0.8062, 0.9009, 1.0]",0.203125,62.6885,62.0,0.0,2048,6144,32.906,98.7,1343,3326.907
17,1422,1.843045,91008,273024,151.378,2763.429,1.4060533789890816e-05,279.15,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.842569,0.448242,0.00293,0.445964,0.00293,0.134277,0.1,118.5776,118.0,"[0.1343, 0.2305, 0.3242, 0.4287, 0.5225, 0.6265, 0.7217, 0.835, 0.9302, 1.0]",0.204102,62.6909,63.0,0.0,2048,6144,32.933,98.8,1422,3519.064
18,1501,1.842379,96064,288192,526.543,3289.973,3.5432716842798603e-06,299.69,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.84264,0.448405,0.00293,0.445964,0.00293,0.134277,0.1,118.5776,118.0,"[0.1343, 0.2305, 0.3242, 0.4287, 0.5225, 0.6265, 0.7217, 0.835, 0.9302, 1.0]",0.204102,62.6909,63.0,0.0,2048,6144,29.199,87.6,1501,4084.577
19,1563,1.843164,100032,300096,113.429,3403.402,1e-06,295.29,4131200,Salsa2-GatedUT,4b1582c2b2c05fb7,0,1.842615,0.448405,0.00293,0.445964,0.00293,0.134277,0.1,118.5776,118.0,"[0.1343, 0.2305, 0.3242, 0.4287, 0.5225, 0.6265, 0.7217, 0.835, 0.9302, 1.0]",0.204102,62.6909,63.0,0.0,2048,6144,29.392,88.2,1563,4236.541
