epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,step,wall_time_sec
0,8,3.81963,128,384,0.597,0.597,0.0009505339495172584,273.64,89120,Salsa2-GatedUT,d302379781589846,0,3.504851,0.333333,0.0,0.333333,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,128,384,214.385,643.2,8,6.206
1,16,3.359718,256,768,0.495,1.092,0.0006116492065111791,274.83,89120,Salsa2-GatedUT,d302379781589846,0,3.238157,0.333333,0.0,0.333333,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,128,384,234.513,703.5,16,7.03
2,24,3.146336,384,1152,0.464,1.556,0.00018906684397156263,274.95,89120,Salsa2-GatedUT,d302379781589846,0,3.117986,0.333333,0.0,0.333333,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,128,384,246.865,740.6,24,7.818
3,32,3.105434,512,1536,0.493,2.049,1e-06,275.0,89120,Salsa2-GatedUT,d302379781589846,0,3.096893,0.333333,0.0,0.333333,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,128,384,249.926,749.8,32,8.625
