epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.674714,5056,15168,43.037,43.239,0.0002,373.22,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,2.042491,0.443685,0.000977,0.154134,0.000977,0.070801,0.1,189.252,251.0,"[0.0708, 0.1401, 0.2021, 0.251, 0.2837, 0.3169, 0.3389, 0.3389, 0.3389, 1.0]",0.070801,186.9272,251.0,0.661133,2048,6144,117.479,352.4,43.037,79,57.921
1,158,1.954211,10112,30336,41.542,95.427,0.0003975,387.84,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.910912,0.443848,0.005859,0.444173,0.005859,0.20459,0.1,65.2012,62.0,"[0.2046, 0.4019, 0.603, 0.7798, 0.9224, 0.9795, 0.9956, 0.9961, 0.9971, 1.0]",0.20752,62.2661,61.0,0.0,2048,6144,119.556,358.7,84.58,158,110.15
2,237,1.891026,15168,45504,41.068,147.195,0.0004990932474140245,373.1,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.874587,0.444336,0.006836,0.441569,0.006836,0.115234,0.1,122.3779,122.0,"[0.1152, 0.2114, 0.3125, 0.4082, 0.5112, 0.6069, 0.7178, 0.8223, 0.9087, 1.0]",0.206543,62.8667,62.5,0.0,2048,6144,120.718,362.2,125.648,237,164.062
3,316,1.860612,20224,60672,45.652,205.694,0.000491135059176067,372.17,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.807223,0.547526,0.007324,0.483561,0.007324,0.351562,0.1,61.7393,38.0,"[0.3516, 0.6074, 0.7583, 0.8145, 0.8477, 0.8799, 0.9019, 0.9331, 0.9395, 1.0]",0.352539,54.2188,37.5,0.05957,2048,6144,118.062,354.2,171.3,316,220.992
4,395,1.624683,25280,75840,40.902,257.863,0.00047522039359225454,370.58,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.509577,0.661296,0.012207,0.59082,0.012207,0.570801,0.1,31.334,22.0,"[0.5708, 0.8984, 0.9536, 0.9546, 0.9546, 0.9546, 0.9546, 0.9658, 0.9995, 1.0]",0.571289,23.8794,22.0,0.0,2048,6144,119.131,357.4,212.203,395,273.764
5,474,1.495473,30336,91008,42.946,312.704,0.00045187546108519993,392.32,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.46693,0.668457,0.024902,0.58252,0.024902,0.739258,0.1,25.2295,14.0,"[0.7393, 0.9185, 0.9639, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648, 1.0]",0.774414,17.1982,13.0,0.0,2048,6144,118.895,356.7,255.148,474,326.332
6,553,1.437416,35392,106176,39.324,361.625,0.0004218721501206523,380.52,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.385493,0.670573,0.032227,0.635579,0.032227,0.880371,0.1,17.1436,9.0,"[0.8804, 0.9722, 0.9736, 0.9736, 0.9741, 0.9741, 0.9746, 0.9746, 0.9746, 1.0]",0.905762,11.2417,9.0,0.0,2048,6144,120.188,360.6,294.472,553,376.595
7,632,1.303109,40448,121344,40.804,413.366,0.0003862025051031447,375.46,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.221399,0.674316,0.047363,0.643066,0.047363,0.940918,0.1,18.7837,6.0,"[0.9409, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 1.0]",0.991699,6.9624,6.0,0.0,2048,6144,120.641,361.9,335.276,632,427.865
8,711,1.150112,45504,136512,41.078,464.912,0.0003460459249261226,380.91,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.090505,0.686523,0.073242,0.667643,0.073242,0.98291,0.1,8.6323,4.0,"[0.9829, 0.9829, 0.9829, 0.9829, 0.9829, 0.9829, 0.9829, 0.9829, 0.9829, 1.0]",1.0,4.6328,4.0,0.0,2048,6144,120.907,362.7,376.355,711,479.488
9,790,1.067655,50560,151680,41.645,517.09,0.00030273016674001743,363.11,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.049476,0.6875,0.080566,0.670247,0.080566,0.960449,0.1,13.4316,4.0,"[0.9604, 0.9604, 0.9604, 0.9604, 0.9604, 0.9604, 0.9604, 0.9604, 0.9604, 1.0]",1.0,4.0884,3.0,0.0,2048,6144,120.957,362.9,418.0,790,531.966
10,869,1.037902,55616,166848,40.938,568.869,0.00025768744432908117,356.06,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,1.028588,0.690267,0.081055,0.672526,0.081055,0.979004,0.1,9.1851,4.0,"[0.979, 0.979, 0.979, 0.979, 0.979, 0.979, 0.979, 0.979, 0.979, 1.0]",1.0,4.1641,4.0,0.0,2048,6144,121.184,363.6,458.938,869,585.027
11,948,0.999878,60672,182016,44.059,625.076,0.00021240707268209953,355.49,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.968409,0.696452,0.097168,0.68278,0.097168,0.984375,0.1,7.0386,3.0,"[0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 1.0]",1.0,3.3179,3.0,0.0,2048,6144,120.621,361.9,502.997,948,640.373
12,1027,0.977398,65728,197184,44.071,680.423,0.0001683862245404622,369.4,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.973694,0.698079,0.100586,0.672526,0.100586,0.977051,0.1,8.8906,3.0,"[0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 1.0]",1.0,3.395,3.0,0.0,2048,6144,120.146,360.4,547.068,1027,697.479
13,1106,0.951154,70784,212352,41.46,734.814,0.00012708042713359082,379.94,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.938554,0.697103,0.099121,0.680664,0.099121,0.986328,0.1,6.4131,3.0,"[0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 1.0]",1.0,3.1621,3.0,0.0,2048,6144,120.273,360.8,588.528,1106,749.301
14,1185,0.933059,75840,227520,39.751,785.022,8.985543590229906e-05,389.98,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.92571,0.699707,0.10791,0.686361,0.10791,0.98584,0.1,6.3701,3.0,"[0.9858, 0.9858, 0.9858, 0.9858, 0.9858, 0.9858, 0.9858, 0.9858, 0.9858, 1.0]",1.0,3.0112,3.0,0.0,2048,6144,120.711,362.1,628.279,1185,799.722
15,1264,0.923702,80896,242688,39.738,835.432,5.794207648124534e-05,361.21,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.914888,0.702962,0.118652,0.688151,0.118652,0.983887,0.1,6.6943,2.0,"[0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 1.0]",1.0,2.8462,2.0,0.0,2048,6144,121.099,363.3,668.017,1264,850.675
16,1343,0.903889,85952,257856,39.374,886.006,3.239554806764178e-05,378.68,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.90305,0.703451,0.116211,0.688639,0.116211,0.983887,0.1,6.5654,2.0,"[0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 0.9839, 1.0]",1.0,2.7202,2.0,0.0,2048,6144,121.506,364.5,707.391,1343,901.115
17,1422,0.89875,91008,273024,61.79,958.869,1.4060533789890816e-05,372.3,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.896945,0.70166,0.111816,0.690267,0.111816,0.98877,0.1,5.3398,2.0,"[0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 1.0]",1.0,2.6704,2.0,0.0,2048,6144,118.318,355.0,769.181,1422,977.32
18,1501,0.897844,96064,288192,53.116,1026.439,3.5432716842798603e-06,369.61,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.893942,0.704102,0.118164,0.691895,0.118164,0.986816,0.1,5.771,2.0,"[0.9868, 0.9868, 0.9868, 0.9868, 0.9868, 0.9868, 0.9868, 0.9868, 0.9868, 1.0]",1.0,2.6357,2.0,0.0,2048,6144,116.824,350.5,822.297,1501,1043.004
19,1563,0.891872,100032,300096,35.865,1074.854,1e-06,390.02,4241288,Salsa2-NACT,a4cb9d0c870aec5e,123,0.893135,0.704427,0.119141,0.692057,0.119141,0.987305,0.1,5.6323,2.0,"[0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 0.9873, 1.0]",1.0,2.6138,2.0,0.0,2048,6144,116.565,349.7,858.163,1563,1090.146
