epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.764943,5056,15168,19.484,19.564,0.0002,868.38,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,2.038123,0.443034,0.003906,0.395182,0.003906,0.124023,0.1,133.3267,134.0,"[0.124, 0.2197, 0.3057, 0.3906, 0.4717, 0.5552, 0.6333, 0.7114, 0.8115, 1.0]",0.191406,83.6724,69.0,0.121094,2048,6144,259.496,778.5,19.484,79,24.704
1,158,1.945243,10112,30336,19.993,44.117,0.0003975,829.92,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.883497,0.447428,0.004883,0.446615,0.004883,0.140625,0.1,119.373,122.0,"[0.1406, 0.2349, 0.3296, 0.4224, 0.521, 0.6157, 0.7202, 0.8232, 0.9219, 1.0]",0.21875,61.5933,61.0,0.0,2048,6144,256.152,768.5,39.477,158,49.887
2,237,1.878042,15168,45504,21.642,70.869,0.0004990932474140245,786.56,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.863583,0.446452,0.005371,0.447591,0.005371,0.146484,0.1,115.2793,113.0,"[0.1465, 0.2495, 0.356, 0.4502, 0.5498, 0.6372, 0.7437, 0.8354, 0.9253, 1.0]",0.221191,61.2354,61.0,0.0,2048,6144,248.173,744.5,61.119,237,76.206
3,316,1.860598,20224,60672,20.207,95.769,0.000491135059176067,657.73,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.858491,0.447266,0.004883,0.445638,0.004883,0.144043,0.1,117.2119,115.0,"[0.144, 0.2388, 0.3359, 0.4365, 0.5405, 0.627, 0.7246, 0.8223, 0.9346, 1.0]",0.209473,61.5337,61.0,0.0,2048,6144,248.678,746.0,81.326,316,100.841
4,395,1.860076,25280,75840,20.042,120.219,0.00047522039359225454,688.67,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.856478,0.450195,0.00293,0.446615,0.00293,0.117188,0.1,125.5889,127.0,"[0.1172, 0.2163, 0.3032, 0.3945, 0.4897, 0.5815, 0.6968, 0.7944, 0.8999, 1.0]",0.213867,62.2861,61.0,0.003418,2048,6144,249.388,748.2,101.368,395,125.552
5,474,1.856702,30336,91008,20.15,145.05,0.00045187546108519993,708.72,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.864884,0.446615,0.006836,0.444987,0.006836,0.125977,0.1,123.5693,125.0,"[0.126, 0.2207, 0.3101, 0.4043, 0.501, 0.5903, 0.7031, 0.8037, 0.9082, 1.0]",0.214355,62.2886,61.0,0.003418,2048,6144,249.642,748.9,121.518,474,150.223
6,553,1.847366,35392,106176,20.224,169.734,0.0004218721501206523,735.66,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.817258,0.494629,0.006836,0.49528,0.006836,0.314453,0.1,60.333,42.0,"[0.3145, 0.5669, 0.6748, 0.7734, 0.8862, 0.9194, 0.9517, 0.9927, 1.0, 1.0]",0.314453,50.8726,42.0,0.0,2048,6144,249.693,749.1,141.742,553,174.994
7,632,1.769353,40448,121344,20.49,194.829,0.0003862025051031447,732.31,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.700531,0.580404,0.007812,0.462077,0.007812,0.326172,0.1,79.5132,44.0,"[0.3262, 0.5454, 0.6875, 0.728, 0.7329, 0.7402, 0.7773, 0.8398, 0.9243, 1.0]",0.401855,36.6309,33.0,0.0,2048,6144,249.321,748.0,162.232,632,200.241
8,711,1.628275,45504,136512,19.814,219.405,0.0003460459249261226,704.28,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.577928,0.628255,0.009766,0.492513,0.009766,0.490723,0.1,44.5654,26.0,"[0.4907, 0.7949, 0.8838, 0.9048, 0.9097, 0.9111, 0.9165, 0.9253, 0.9541, 1.0]",0.536621,27.4165,23.0,0.0,2048,6144,249.959,749.9,182.046,711,224.65
9,790,1.529205,50560,151680,19.678,243.676,0.00030273016674001743,686.19,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.499265,0.657552,0.015625,0.596354,0.015625,0.592285,0.1,34.7524,21.0,"[0.5923, 0.9146, 0.9316, 0.9321, 0.9321, 0.9326, 0.9346, 0.938, 0.9556, 1.0]",0.636719,20.874,19.0,0.0,2048,6144,250.639,751.9,201.724,790,248.844
10,869,1.481403,55616,166848,19.904,268.093,0.00025768744432908117,703.09,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.476575,0.662435,0.016113,0.596517,0.016113,0.649414,0.1,27.3696,17.0,"[0.6494, 0.9014, 0.9624, 0.9707, 0.9707, 0.9712, 0.9717, 0.9727, 0.9731, 1.0]",0.67627,20.8687,16.0,0.0,2048,6144,250.943,752.8,221.628,869,273.809
11,948,1.466316,60672,182016,19.921,293.083,0.00021240707268209953,667.7,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.444486,0.666016,0.018066,0.61084,0.018066,0.738281,0.1,23.04,15.0,"[0.7383, 0.9561, 0.9717, 0.9727, 0.9727, 0.9727, 0.9727, 0.9731, 0.9736, 1.0]",0.764648,16.7422,14.0,0.0,2048,6144,251.178,753.5,241.55,948,298.28
12,1027,1.426672,65728,197184,21.005,318.652,0.0001683862245404622,694.77,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.372295,0.673991,0.036133,0.622721,0.036133,0.887695,0.1,16.2568,9.0,"[0.8877, 0.9756, 0.9785, 0.979, 0.979, 0.979, 0.979, 0.979, 0.979, 1.0]",0.908691,11.2407,9.0,0.0,2048,6144,250.34,751.0,262.555,1027,324.17
13,1106,1.339176,70784,212352,20.277,343.828,0.00012708042713359082,649.75,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.293762,0.675618,0.040039,0.624023,0.040039,0.936523,0.1,13.4053,7.0,"[0.9365, 0.9795, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 1.0]",0.955078,9.001,7.0,0.0,2048,6144,250.269,750.8,282.832,1106,349.01
14,1185,1.258875,75840,227520,20.961,369.317,8.985543590229906e-05,706.5,4241288,Salsa2-NACT,2ffe9010dd8ae329,42,1.213319,0.681966,0.053223,0.644694,0.053223,0.959961,0.1,10.5376,5.0,"[0.96, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 1.0]",0.975098,6.9082,5.0,0.0,2048,6144,249.644,748.9,303.793,1185,374.519
