epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.559095,5056,15168,51.931,52.362,0.0002,364.71,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.968151,0.441895,0.004395,0.435384,0.004395,0.189453,0.1,76.9385,66.0,"[0.1895, 0.3862, 0.5693, 0.7031, 0.8018, 0.9014, 0.959, 0.959, 0.959, 1.0]",0.189453,70.5518,66.0,0.041016,2048,6144,97.36,292.1,51.931,79,72.47
1,158,1.918637,10112,30336,48.052,113.261,0.0003975,359.64,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.886644,0.447591,0.005371,0.445475,0.005371,0.20166,0.1,74.1035,66.5,"[0.2017, 0.3823, 0.5596, 0.707, 0.811, 0.9087, 0.9712, 0.9819, 0.9922, 1.0]",0.209473,62.7329,63.5,0.0,2048,6144,101.138,303.4,99.983,158,134.238
2,237,1.882774,15168,45504,47.603,174.56,0.0004990932474140245,363.9,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.869598,0.447917,0.00293,0.438639,0.00293,0.1875,0.1,72.6714,66.0,"[0.1875, 0.3828, 0.5664, 0.7051, 0.8198, 0.9277, 0.9946, 1.0, 1.0, 1.0]",0.1875,64.6797,66.0,0.0,2048,6144,102.774,308.3,147.585,237,195.005
3,316,1.863564,20224,60672,48.449,236.132,0.000491135059176067,354.68,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.8601,0.443034,0.007812,0.448079,0.007812,0.210938,0.1,77.1655,64.0,"[0.2109, 0.4043, 0.5684, 0.6616, 0.7656, 0.8579, 0.9595, 0.9946, 0.9971, 1.0]",0.213867,62.3569,63.0,0.0,2048,6144,103.165,309.5,196.035,316,255.907
4,395,1.854635,25280,75840,47.096,295.695,0.00047522039359225454,377.87,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.828867,0.490234,0.005859,0.473796,0.005859,0.208496,0.1,75.9639,67.0,"[0.2085, 0.3872, 0.5527, 0.7051, 0.8262, 0.9111, 0.9429, 0.9492, 0.9614, 1.0]",0.24707,60.292,59.0,0.0,2048,6144,103.977,311.9,243.131,395,315.408
5,474,1.769249,30336,91008,46.503,354.687,0.00045187546108519993,385.46,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.692807,0.583496,0.006836,0.569987,0.006836,0.287598,0.1,60.9053,46.0,"[0.2876, 0.5405, 0.7417, 0.8604, 0.8945, 0.9141, 0.9355, 0.9399, 0.9512, 1.0]",0.336426,45.1113,41.0,0.0,2048,6144,104.739,314.2,289.634,474,374.689
6,553,1.583572,35392,106176,48.12,415.503,0.0004218721501206523,381.28,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.520594,0.658529,0.019531,0.569499,0.019531,0.561523,0.1,30.1309,22.0,"[0.5615, 0.8867, 0.9648, 0.9697, 0.9697, 0.9697, 0.9736, 0.9736, 0.9756, 1.0]",0.585938,23.7793,20.0,0.0,2048,6144,104.786,314.4,337.754,553,435.754
7,632,1.493287,40448,121344,50.547,478.969,0.0003862025051031447,378.02,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.472683,0.6639,0.015625,0.575684,0.015625,0.587891,0.1,36.3179,21.5,"[0.5879, 0.8999, 0.9312, 0.9312, 0.9312, 0.9312, 0.9312, 0.9312, 0.9395, 1.0]",0.648438,20.8125,19.0,0.0,2048,6144,104.167,312.5,388.301,632,498.084
8,711,1.475713,45504,136512,48.007,538.78,0.0003460459249261226,355.91,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.459219,0.661133,0.023926,0.617025,0.023926,0.759277,0.1,26.6987,13.0,"[0.7593, 0.9375, 0.9453, 0.9453, 0.9453, 0.9453, 0.9453, 0.9517, 0.9668, 1.0]",0.79248,15.6196,12.0,0.0,2048,6144,104.293,312.9,436.308,711,559.059
9,790,1.420082,50560,151680,48.049,599.805,0.00030273016674001743,363.83,4241288,Salsa2-NACT,be1c85196c6d267c,0,1.342251,0.670085,0.03418,0.633789,0.03418,0.888184,0.1,19.5903,9.0,"[0.8882, 0.9575, 0.9624, 0.9624, 0.9624, 0.9624, 0.9624, 0.9624, 0.9639, 1.0]",0.924316,11.0732,9.0,0.0,2048,6144,104.386,313.2,484.358,790,621.179
