model,parameters,config_fingerprint,seed,samples_seen,tokens_seen,wall_clock_min,samples_per_second,tokens_per_second,cpu_rss_mb,train_loss,valid_loss,marginal_loss_baseline,token_accuracy,token_accuracy_chance,perfect_accuracy,greedy_token_accuracy,exact_integer_accuracy,exact_accuracy_chance,acc_tau_SALSA,acc_tau_chance,acc_tau_circular_DIAGNOSTIC,decode_failure_rate,mean_abs_distance,median_abs_distance
Salsa2-GatedUT,4131200,4b1582c2b2c05fb7,0,100032,300096,69.88,29.392,88.2,295.2,1.843164,1.842615,1.865,0.448405,0.4462,0.00293,0.445964,0.00293,0.00398,0.134277,0.1929,0.204102,0.0,118.5776,118.0
Salsa2-CompactTransformer,4251520,82b51f36a8481c6b,0,100032,300096,36.56,57.905,173.7,308.1,1.843763,1.843147,1.865,0.443359,0.4462,0.002441,0.447103,0.002441,0.00398,0.147949,0.1929,0.200684,0.0,105.0405,95.0
