section,metric,tier,V1_n,V1_mean,V1_stdev,V1_min,V1_max,V2_n,V2_mean,V2_stdev,V2_min,V2_max,difference_v2_minus_v1,percent_difference,winner,sign_test_p,sign_test_unanimous,seed,arm,value,nnz,input_type,V1_lift,V2_lift,V1_decode_validity,V2_decode_validity
equal_depth,Validation loss (nats),primary,5,1.8096422,0.04689735742768457,1.741287,1.843136,3,0.913606,0.023194681998251237,0.893135,0.938798,-0.8960362000000001,-49.514550445386384,V2,0.25,True,,,,,,,,,
equal_depth,SALSA acc_tau,primary,5,0.223242,0.11970312675323064,0.103516,0.35498,3,0.9863283333333334,0.0021282897672388213,0.983887,0.987793,0.7630863333333333,341.8202369327158,V2,0.25,True,,,,,,,,,
equal_depth,Exact integer accuracy,primary,5,0.0059568,0.0034937583917609414,0.001953,0.010742,3,0.11100266666666665,0.009165592852256385,0.101074,0.119141,0.10504586666666665,1763.4613662816723,V2,0.25,True,,,,,,,,,
equal_depth,Token accuracy,secondary,5,0.4783528,0.04075692460429272,0.44515,0.532389,3,0.7013886666666668,0.003937711560454032,0.69694,0.704427,0.22303586666666675,46.62580979282796,V2,0.25,True,,,,,,,,,
equal_depth,Greedy token accuracy,secondary,5,0.45172540000000005,0.01411366098147464,0.44222,0.475749,3,0.6876083333333334,0.004840235152689737,0.682454,0.692057,0.23588293333333332,52.218213395424144,V2,0.25,True,,,,,,,,,
equal_depth,Perfect accuracy,secondary,5,0.0059568,0.0034937583917609414,0.001953,0.010742,3,0.11100266666666665,0.009165592852256385,0.101074,0.119141,0.10504586666666665,1763.4613662816723,V2,0.25,True,,,,,,,,,
equal_depth,Mean |b - b_hat|,secondary,5,87.30352,28.36298737187252,63.4736,119.7432,3,6.0026,0.5937942657183548,5.6323,6.6875,-81.30092,-93.12444675770233,V2,0.25,True,,,,,,,,,
equal_depth,Decode failure rate,secondary,5,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,,TIE,,,,,,,,,,,
equal_depth,Samples/sec,efficiency,5,360.55460000000005,15.306447736166628,344.001,375.706,3,108.21733333333333,10.751761545594906,96.085,116.565,-252.33726666666672,-69.9858680673237,V1,0.25,True,,,,,,,,,
equal_depth,Tokens/sec,efficiency,5,1081.6399999999999,45.91092462584477,1032.0,1127.1,3,324.6666666666667,32.23078238785606,288.3,349.7,-756.9733333333331,-69.98385168201372,V1,0.25,True,,,,,,,,,
equal_depth,Wall-clock (s),efficiency,5,353.0878078460693,15.54805321795535,338.26287627220154,370.4971249103546,3,1200.8049782911937,113.23777101692623,1074.8543629646301,1294.1961479187012,847.7171704451243,240.08678623496724,V1,0.25,True,,,,,,,,,
equal_depth,CPU RSS (MiB),efficiency,5,712.359375,102.14902575117426,601.171875,836.671875,3,375.7604166666667,13.634040469707518,365.46484375,391.22265625,-336.5989583333333,-47.25128497583587,V2,0.25,True,,,,,,,,,
equal_depth,Trainable parameters,efficiency,5,4131200.0,0.0,4131200,4131200,3,4241288.0,0.0,4241288,4241288,110088.0,2.6647947327652983,V1,0.25,True,,,,,,,,,
depth_ablation_Te4_vs_Te2,Validation loss (nats),primary,5,0.9607530000000001,0.07526552202037791,0.892352,1.08272,3,0.913606,0.023194681998251237,0.893135,0.938798,-0.04714700000000005,-4.907296672505841,V2,0.25,,,,,,,,,,
