epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.834882,5056,15168,15.015,15.082,0.0002,784.98,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,2.085263,0.441895,0.0,0.017415,0.0,0.0,0.1,251.0,251.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,251.0,251.0,1.0,2048,6144,336.733,1010.2,15.015,79,19.935
1,158,1.946339,10112,30336,14.567,33.895,0.0003975,799.2,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.894916,0.444661,0.006348,0.446126,0.006348,0.199707,0.1,67.5352,63.0,"[0.1997, 0.4082, 0.603, 0.7622, 0.8628, 0.958, 1.0, 1.0, 1.0, 1.0]",0.199707,62.561,63.0,0.0,2048,6144,341.834,1025.5,29.582,158,38.637
2,237,1.883394,15168,45504,14.335,52.301,0.0004990932474140245,799.3,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.865079,0.442383,0.006836,0.442546,0.006836,0.111816,0.1,123.3521,123.0,"[0.1118, 0.207, 0.3066, 0.4038, 0.5054, 0.603, 0.7114, 0.8184, 0.9067, 1.0]",0.205078,62.9141,63.0,0.0,2048,6144,345.38,1036.1,43.917,237,57.012
3,316,1.866102,20224,60672,14.42,70.761,0.000491135059176067,821.42,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.854663,0.447754,0.00293,0.443848,0.00293,0.21582,0.1,90.1055,76.0,"[0.2158, 0.3711, 0.4966, 0.6069, 0.687, 0.7793, 0.8516, 0.915, 0.9751, 1.0]",0.240723,58.3384,56.0,0.0,2048,6144,346.676,1040.0,58.337,316,75.515
4,395,1.851318,25280,75840,14.462,89.308,0.00047522039359225454,828.17,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.860119,0.44987,0.004883,0.448893,0.004883,0.192383,0.1,101.9707,99.0,"[0.1924, 0.2988, 0.4097, 0.5034, 0.6094, 0.7085, 0.8076, 0.9023, 0.9966, 1.0]",0.195801,62.916,63.0,0.0,2048,6144,347.259,1041.8,72.799,395,94.036
5,474,1.858784,30336,91008,14.453,107.766,0.00045187546108519993,720.22,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.853796,0.441895,0.00293,0.446777,0.00293,0.200195,0.1,69.2607,63.0,"[0.2002, 0.395, 0.5908, 0.7397, 0.8452, 0.9419, 1.0, 1.0, 1.0, 1.0]",0.200195,62.9946,63.0,0.0,2048,6144,347.685,1043.1,87.251,474,112.607
6,553,1.859881,35392,106176,14.83,126.775,0.0004218721501206523,702.03,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.849648,0.449707,0.006348,0.405599,0.006348,0.174316,0.1,91.3081,79.0,"[0.1743, 0.332, 0.4751, 0.5957, 0.6963, 0.7983, 0.8828, 0.9224, 0.9619, 1.0]",0.212402,62.4517,63.0,0.0,2048,6144,346.704,1040.1,102.081,553,131.594
7,632,1.853814,40448,121344,14.582,145.524,0.0003862025051031447,634.88,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.852028,0.444499,0.005371,0.444499,0.005371,0.114258,0.1,122.374,122.0,"[0.1143, 0.2134, 0.3081, 0.4106, 0.5103, 0.606, 0.7144, 0.8218, 0.9116, 1.0]",0.202637,62.9282,63.0,0.0,2048,6144,346.708,1040.1,116.663,632,150.371
8,711,1.850139,45504,136512,14.671,164.329,0.0003460459249261226,656.06,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.8533,0.446126,0.00293,0.446777,0.00293,0.200195,0.1,69.2607,63.0,"[0.2002, 0.395, 0.5908, 0.7397, 0.8452, 0.9419, 1.0, 1.0, 1.0, 1.0]",0.200195,62.9946,63.0,0.0,2048,6144,346.475,1039.4,131.334,711,169.18
9,790,1.845688,50560,151680,14.843,183.334,0.00030273016674001743,683.38,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.84938,0.450358,0.004395,0.444824,0.004395,0.131836,0.1,118.8408,118.0,"[0.1318, 0.2305, 0.3286, 0.4248, 0.5215, 0.6235, 0.7271, 0.8325, 0.9233, 1.0]",0.208496,62.6875,63.0,0.0,2048,6144,345.882,1037.6,146.177,790,188.117
10,869,1.849693,55616,166848,14.705,202.159,0.00025768744432908117,686.89,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.847688,0.458008,0.005859,0.445475,0.005859,0.174316,0.1,87.103,75.0,"[0.1743, 0.3325, 0.5029, 0.6182, 0.728, 0.8271, 0.9097, 0.9463, 0.9766, 1.0]",0.197754,63.6328,66.0,0.0,2048,6144,345.694,1037.1,160.882,869,207.082
11,948,1.847613,60672,182016,14.732,221.148,0.00021240707268209953,682.42,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.849624,0.442383,0.007324,0.44401,0.007324,0.116211,0.1,122.6094,122.0,"[0.1162, 0.2114, 0.3125, 0.4087, 0.5107, 0.6069, 0.7129, 0.8193, 0.9077, 1.0]",0.208496,62.5879,62.0,0.0,2048,6144,345.485,1036.5,175.614,948,225.9
12,1027,1.846726,65728,197184,14.703,239.917,0.0001683862245404622,682.62,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.848022,0.441406,0.006836,0.443685,0.006836,0.141113,0.1,110.6104,107.0,"[0.1411, 0.2695, 0.3735, 0.4731, 0.5708, 0.6704, 0.7734, 0.8691, 0.937, 1.0]",0.204102,62.3726,62.0,0.0,2048,6144,345.36,1036.1,190.317,1027,244.735
13,1106,1.84624,70784,212352,14.717,258.731,0.00012708042713359082,691.73,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.845225,0.447103,0.002441,0.444336,0.002441,0.192383,0.1,70.8369,65.0,"[0.1924, 0.3862, 0.5835, 0.7275, 0.834, 0.9258, 0.9971, 0.999, 0.9995, 1.0]",0.192871,63.3613,64.5,0.0,2048,6144,345.23,1035.7,205.034,1106,263.548
14,1185,1.844264,75840,227520,14.686,277.562,8.985543590229906e-05,688.69,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.84397,0.438802,0.00293,0.352214,0.00293,0.124023,0.1,119.6992,118.0,"[0.124, 0.2236, 0.3242, 0.4341, 0.5249, 0.6255, 0.7295, 0.8237, 0.9155, 1.0]",0.208496,62.6226,63.0,0.0,2048,6144,345.166,1035.5,219.72,1185,282.369
15,1264,1.843522,80896,242688,14.783,296.49,5.7942076481245316e-05,692.48,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.843693,0.44222,0.00293,0.349284,0.00293,0.120117,0.1,121.7578,120.5,"[0.1201, 0.2119, 0.3169, 0.4229, 0.5171, 0.6187, 0.7217, 0.813, 0.9087, 1.0]",0.211426,62.5239,62.5,0.0,2048,6144,344.967,1034.9,234.504,1264,301.305
16,1343,1.843266,85952,257856,14.726,315.379,3.239554806764178e-05,690.0,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.84247,0.446126,0.001953,0.442383,0.001953,0.125977,0.1,119.7705,119.0,"[0.126, 0.2256, 0.3242, 0.4199, 0.519, 0.6172, 0.7231, 0.8296, 0.9209, 1.0]",0.205078,62.6577,63.0,0.0,2048,6144,344.87,1034.6,249.23,1343,320.137
17,1422,1.842873,91008,273024,14.653,334.12,1.4060533789890816e-05,698.17,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.842266,0.44987,0.001953,0.442708,0.001953,0.123047,0.1,119.4775,119.0,"[0.123, 0.2222, 0.3237, 0.4214, 0.5215, 0.6211, 0.728, 0.8335, 0.9224, 1.0]",0.200684,63.1221,63.0,0.0,2048,6144,344.88,1034.6,263.883,1422,338.945
18,1501,1.842847,96064,288192,14.651,352.964,3.5432716842798603e-06,677.75,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.842178,0.448405,0.001953,0.441895,0.001953,0.124512,0.1,119.7925,119.0,"[0.1245, 0.2236, 0.3228, 0.4189, 0.519, 0.6187, 0.7251, 0.8315, 0.9214, 1.0]",0.203125,62.9492,63.0,0.0,2048,6144,344.891,1034.7,278.535,1501,357.791
19,1563,1.842638,100032,300096,12.221,369.349,1e-06,600.06,4131200,Salsa2-GatedUT,84d93dddce03abcd,123,1.842193,0.446777,0.001953,0.44222,0.001953,0.124023,0.1,119.7432,119.0,"[0.124, 0.2231, 0.3228, 0.4194, 0.5195, 0.6191, 0.7256, 0.832, 0.9219, 1.0]",0.202148,63.0068,63.0,0.0,2048,6144,344.041,1032.1,290.756,1563,374.559
