epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.662902,5056,15168,80.701,80.932,0.0002,357.38,4241288,Salsa2-NACT,431e51ed5d60f02c,42,2.009056,0.450033,0.0,0.01123,0.0,0.001953,0.1,249.2598,251.0,"[0.002, 0.0029, 0.0044, 0.0063, 0.0073, 0.0083, 0.0098, 0.0107, 0.0112, 1.0]",0.002441,248.8159,251.0,0.988281,2048,6144,62.651,188.0,80.701,79,100.352
1,158,1.960541,10112,30336,50.192,145.208,0.0003975,382.34,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.924881,0.443034,0.00293,0.448242,0.00293,0.1875,0.1,77.0811,62.0,"[0.1875, 0.397, 0.5674, 0.6694, 0.7651, 0.8657, 0.9585, 0.9961, 0.999, 1.0]",0.188477,62.8511,62.0,0.0,2048,6144,77.254,231.8,130.893,158,167.357
2,237,1.80013,15168,45504,74.574,236.659,0.0004990932474140245,372.67,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.601578,0.624349,0.011719,0.551921,0.011719,0.500977,0.1,41.3628,25.0,"[0.501, 0.8267, 0.9043, 0.9253, 0.9277, 0.9297, 0.9312, 0.9312, 0.9375, 1.0]",0.563477,26.0093,22.0,0.0,2048,6144,73.822,221.5,205.467,237,378.789
3,316,1.534577,20224,60672,54.817,428.578,0.000491135059176067,372.19,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.50862,0.661947,0.012695,0.561686,0.012695,0.525879,0.1,34.9561,24.0,"[0.5259, 0.855, 0.9526, 0.9565, 0.957, 0.957, 0.9575, 0.9575, 0.9609, 1.0]",0.564941,25.0752,22.0,0.0,2048,6144,77.7,233.1,260.284,316,446.305
4,395,1.50617,25280,75840,45.993,486.988,0.00047522039359225454,374.57,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.490313,0.66276,0.015137,0.581706,0.015137,0.616699,0.1,27.6855,21.0,"[0.6167, 0.9438, 0.9692, 0.9692, 0.9692, 0.9692, 0.9692, 0.9722, 0.9814, 1.0]",0.635254,21.2642,20.0,0.0,2048,6144,82.54,247.6,306.277,395,503.169
5,474,1.492614,30336,91008,41.548,539.345,0.00045187546108519993,392.05,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.495227,0.658691,0.010742,0.528158,0.010742,0.57373,0.1,33.2129,22.0,"[0.5737, 0.9092, 0.9521, 0.9526, 0.9526, 0.9526, 0.9526, 0.9526, 0.9531, 1.0]",0.620605,22.1792,20.0,0.0,2048,6144,87.216,261.6,347.825,474,555.633
6,553,1.492458,35392,106176,40.606,590.756,0.0004218721501206523,366.79,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.49675,0.661296,0.013184,0.53125,0.013184,0.595215,0.1,31.0151,21.0,"[0.5952, 0.9292, 0.9551, 0.9565, 0.957, 0.957, 0.957, 0.957, 0.9595, 1.0]",0.634766,21.5405,20.0,0.000977,2048,6144,91.115,273.3,388.43,553,606.564
7,632,1.484106,40448,121344,39.515,640.596,0.0003862025051031447,375.05,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.481935,0.663737,0.014648,0.556478,0.014648,0.631836,0.1,30.9912,20.0,"[0.6318, 0.9258, 0.9507, 0.9521, 0.9521, 0.9526, 0.9526, 0.9526, 0.9526, 1.0]",0.679199,19.7451,18.0,0.0,2048,6144,94.517,283.6,427.946,632,656.738
8,711,1.455944,45504,136512,39.977,691.342,0.0003460459249261226,369.93,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.417338,0.666178,0.020508,0.582357,0.020508,0.763672,0.1,25.5103,13.0,"[0.7637, 0.9404, 0.9551, 0.9556, 0.9556, 0.9556, 0.9556, 0.9561, 0.9565, 1.0]",0.807129,15.4385,12.0,0.0,2048,6144,97.247,291.7,467.922,711,707.701
9,790,1.347325,50560,151680,40.28,742.594,0.00030273016674001743,355.26,4241288,Salsa2-NACT,431e51ed5d60f02c,42,1.246493,0.674967,0.043945,0.626139,0.043945,0.96875,0.1,12.8608,6.0,"[0.9688, 0.9736, 0.9736, 0.9736, 0.9736, 0.9736, 0.9736, 0.9736, 0.9736, 1.0]",0.995117,6.7065,6.0,0.0,2048,6144,99.488,298.5,508.202,790,758.79
