input_type,label,nnz,mean_nnz_measured,samples,decode_validity,undecodable_fraction,acc_tau,exact_accuracy,unique_outputs,unique_output_fraction,modal_output_fraction,output_std,output_variance,output_entropy_nats,output_entropy_ratio_vs_uniform_Zq,mean_token_predictive_entropy_nats,mean_abs_error_all_undecodable_charged_max,mean_abs_error_valid,median_abs_error_valid,target_entropy_nats,target_fraction_near_zero,acc_tau_constant_zero_predictor,acc_tau_best_constant_predictor,best_constant_value,acc_tau_uniform_random_predictor,acc_tau_minus_best_constant
training_distribution,A. RLWE rows from the generator,12,11.9296875,2048,1.0,0.0,0.98681640625,0.1064453125,172,0.083984375,0.025390625,72.93974134536614,5320.205867528915,4.742646903810369,0.8583272640370335,1.1334687124023755,6.287109375,6.287109375,3.0,5.458247275486816,0.21044921875,0.10205078125,0.2216796875,41,0.19280495206673307,0.76513671875
sparse_random,"B. sparse random, nnz=12",12,12.0,2048,1.0,0.0,0.98876953125,0.0869140625,183,0.08935546875,0.021484375,73.12761038009066,5347.647399902344,4.809775375572554,0.8704762177068357,1.1330133620220262,5.97216796875,5.97216796875,3.0,5.4650542577621,0.1982421875,0.1005859375,0.2236328125,47,0.19348582233565736,0.76513671875
sparse_random,"B. sparse random, nnz=10",10,10.0,2048,1.0,0.0,0.974609375,0.0947265625,176,0.0859375,0.021484375,74.69935282742209,5579.993312835693,4.797254423591194,0.8682101678247193,1.1360355044593278,9.46630859375,9.46630859375,3.0,5.450948281351675,0.23046875,0.11083984375,0.2353515625,225,0.1912039342629482,0.7392578125
sparse_random,"B. sparse random, nnz=8",8,8.0,2048,1.0,0.0,0.94287109375,0.09423828125,175,0.08544921875,0.056640625,75.9264057610847,5764.819091796875,4.6636892034971265,0.8440374490330803,1.142041944395381,17.173828125,17.173828125,3.0,5.426990863386708,0.255859375,0.12890625,0.220703125,225,0.1871089859312749,0.72216796875
sparse_random,"B. sparse random, nnz=6",6,6.0,2048,1.0,0.0,0.8798828125,0.0908203125,173,0.08447265625,0.12353515625,82.45732956243698,6799.211198568344,4.438381626353593,0.8032611399005051,1.1596624478944553,32.619140625,32.619140625,3.0,5.206052919466282,0.3779296875,0.20263671875,0.28173828125,25,0.17475994459661354,0.59814453125
sparse_random,"B. sparse random, nnz=4",4,4.0,2048,1.0,0.0,0.78759765625,0.08984375,152,0.07421875,0.17138671875,91.27512621817303,8331.148666143417,3.9501399199746836,0.714898844219524,1.1810349204392534,54.5830078125,54.5830078125,4.0,4.748504970100401,0.5390625,0.29638671875,0.35302734375,25,0.1584054407370518,0.4345703125
sparse_random,"B. sparse random, nnz=2",2,2.0,2048,1.0,0.0,0.64404296875,0.06591796875,130,0.0634765625,0.1806640625,106.96537173634407,11441.590750694275,3.274368871777494,0.5925973685502056,1.2045436690827827,88.716796875,88.716796875,8.0,3.9125237276902,0.76171875,0.42138671875,0.45458984375,25,0.13631606386952191,0.189453125
sparse_random,"B. sparse random, nnz=1",1,1.0,2048,1.0,0.0,0.564453125,0.044921875,95,0.04638671875,0.1943359375,107.78367748607158,11617.321132421494,2.7377012453770906,0.49547091895189804,1.2130981740291742,107.318359375,107.318359375,12.0,3.2980198229360824,0.87109375,0.49462890625,0.50830078125,23,0.12447475722111553,0.05615234375
probe_K_times_e_i,"C. probes K*e_i (all K, all i)",1,1.0,120,1.0,0.0,0.5333333333333333,0.016666666666666666,22,0.18333333333333332,0.275,96.35511540073465,9284.30826388889,2.2818611999765857,0.41297269655782015,1.2128739561931625,112.8,112.8,12.0,2.781423781656104,0.8666666666666667,0.4666666666666667,0.48333333333333334,7,0.12353917662682604,0.04999999999999999
