epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.668895,5056,15168,19.149,19.224,0.0002,867.25,4241288,Salsa2-NACT,f90f3dd643c2450d,123,2.039025,0.444336,0.00293,0.428874,0.00293,0.188477,0.1,77.2705,67.0,"[0.1885, 0.3765, 0.563, 0.7012, 0.8032, 0.8921, 0.9614, 0.9614, 0.9614, 1.0]",0.188477,70.3975,67.0,0.038574,2048,6144,264.039,792.1,19.149,79,24.558
1,158,1.940909,10112,30336,19.473,43.416,0.0003975,798.88,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.900141,0.444661,0.005859,0.444987,0.005859,0.206055,0.1,62.9102,62.0,"[0.2061, 0.4067, 0.6094, 0.7959, 0.9604, 0.9995, 1.0, 1.0, 1.0, 1.0]",0.206055,62.4751,62.0,0.0,2048,6144,261.825,785.5,38.621,158,48.722
2,237,1.881917,15168,45504,19.898,67.936,0.0004990932474140245,644.72,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.873806,0.447591,0.002441,0.447917,0.002441,0.213379,0.1,71.3784,62.5,"[0.2134, 0.3965, 0.6089, 0.7183, 0.814, 0.9111, 0.9985, 0.9995, 1.0, 1.0]",0.213379,62.2461,62.0,0.0,2048,6144,259.197,777.6,58.519,237,73.069
3,316,1.866709,20224,60672,19.523,91.894,0.000491135059176067,668.55,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.874247,0.44515,0.00293,0.442383,0.00293,0.203125,0.1,67.9673,64.0,"[0.2031, 0.3979, 0.5967, 0.7681, 0.8672, 0.9731, 0.9946, 0.9946, 0.9946, 1.0]",0.203125,64.0068,64.0,0.005371,2048,6144,259.142,777.4,78.042,316,96.79
4,395,1.846927,25280,75840,19.564,115.606,0.00047522039359225454,638.77,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.823517,0.494303,0.004883,0.498861,0.004883,0.230469,0.1,66.7993,57.0,"[0.2305, 0.4536, 0.6377, 0.7666, 0.8613, 0.9219, 0.9668, 0.9907, 0.9932, 1.0]",0.237305,57.1548,55.0,0.0,2048,6144,258.999,777.0,97.607,395,120.986
5,474,1.744308,30336,91008,19.632,139.931,0.00045187546108519993,671.14,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.623421,0.606771,0.01416,0.567708,0.01416,0.443359,0.1,41.6162,29.0,"[0.4434, 0.7388, 0.9053, 0.9404, 0.9478, 0.9502, 0.9507, 0.9526, 0.9639, 1.0]",0.479492,31.1431,27.0,0.0,2048,6144,258.755,776.3,117.238,474,145.199
6,553,1.560237,35392,106176,18.771,163.309,0.0004218721501206523,682.48,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.498193,0.659993,0.016113,0.561361,0.016113,0.503418,0.1,46.3169,25.0,"[0.5034, 0.8296, 0.8887, 0.8911, 0.8916, 0.8916, 0.8916, 0.8945, 0.9194, 1.0]",0.583984,23.4243,22.0,0.0,2048,6144,260.218,780.7,136.009,553,168.713
7,632,1.487116,40448,121344,19.14,187.183,0.0003862025051031447,697.72,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.464913,0.666504,0.012695,0.541016,0.012695,0.663574,0.1,24.6406,17.0,"[0.6636, 0.9268, 0.9814, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 1.0]",0.681641,20.3677,16.0,0.0,2048,6144,260.705,782.1,155.149,632,192.061
8,711,1.442809,45504,136512,19.054,210.415,0.0003460459249261226,702.36,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.381428,0.674316,0.037598,0.614583,0.037598,0.902344,0.1,14.2334,9.0,"[0.9023, 0.9761, 0.9854, 0.9854, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 1.0]",0.916016,10.9736,8.0,0.0,2048,6144,261.213,783.6,174.202,711,215.324
9,790,1.323777,50560,151680,18.971,233.598,0.00030273016674001743,684.06,4241288,Salsa2-NACT,f90f3dd643c2450d,123,1.236897,0.673828,0.045898,0.633301,0.045898,0.948242,0.1,17.1147,6.0,"[0.9482, 0.9551, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 1.0]",0.992676,6.5732,6.0,0.0,2048,6144,261.733,785.2,193.174,790,238.452
