epoch,global_step,train_loss,samples_seen,tokens_seen,epoch_seconds,elapsed_seconds,learning_rate,cpu_rss_mb,parameter_count,model_name,config_fingerprint,seed,valid_loss,valid_token_accuracy,valid_perfect_accuracy,valid_greedy_token_accuracy,valid_exact_accuracy,valid_acc_tau,valid_tolerance,valid_mean_distance,valid_median_distance,valid_percentiles,valid_acc_tau_circular_DIAGNOSTIC,valid_mean_circular_distance_DIAGNOSTIC,valid_median_circular_distance_DIAGNOSTIC,valid_decode_failure_rate,valid_sequences,valid_tokens,samples_per_second,tokens_per_second,compute_seconds,step,wall_time_sec
0,79,2.779594,5056,15168,14.824,14.889,0.0002,830.75,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,2.048312,0.444824,0.0,0.011882,0.0,0.000488,0.1,250.3511,251.0,"[0.0005, 0.001, 0.0024, 0.0029, 0.0029, 0.0029, 0.0029, 0.0039, 0.0039, 1.0]",0.000488,250.2407,251.0,0.996094,2048,6144,341.068,1023.2,14.824,79,19.513
1,158,1.968996,10112,30336,14.526,33.433,0.0003975,619.67,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.889587,0.445312,0.005371,0.403809,0.005371,0.150391,0.1,99.585,89.0,"[0.1504, 0.2979, 0.4297, 0.5342, 0.6382, 0.7559, 0.8384, 0.9058, 0.96, 1.0]",0.19043,64.0894,64.0,0.0,2048,6144,344.536,1033.6,29.35,158,38.14
2,237,1.87709,15168,45504,14.074,51.531,0.0004990932474140245,702.88,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.861616,0.447754,0.005371,0.443359,0.005371,0.099121,0.1,122.5542,121.0,"[0.0991, 0.2163, 0.311, 0.4087, 0.5186, 0.6187, 0.7197, 0.8105, 0.9092, 1.0]",0.189941,63.2954,62.0,0.0,2048,6144,349.3,1047.9,43.424,237,56.098
3,316,1.865908,20224,60672,13.282,68.705,0.000491135059176067,701.55,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.857155,0.443359,0.002441,0.347168,0.002441,0.110352,0.1,120.2002,120.0,"[0.1104, 0.2202, 0.3159, 0.4199, 0.5195, 0.6382, 0.729, 0.8228, 0.9287, 1.0]",0.181641,64.0879,63.0,0.0,2048,6144,356.649,1069.9,56.706,316,73.209
4,395,1.858822,25280,75840,13.506,86.038,0.00047522039359225454,676.52,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.849944,0.450846,0.003418,0.447428,0.003418,0.20459,0.1,66.9375,59.0,"[0.2046, 0.4136, 0.6255, 0.751, 0.8579, 0.9541, 1.0, 1.0, 1.0, 1.0]",0.20459,61.6841,59.0,0.0,2048,6144,360.056,1080.2,70.211,395,90.41
5,474,1.856628,30336,91008,13.437,103.164,0.00045187546108519993,676.22,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.865823,0.445801,0.004395,0.449056,0.004395,0.203613,0.1,68.5664,60.0,"[0.2036, 0.4146, 0.6284, 0.7354, 0.8359, 0.9395, 1.0, 1.0, 1.0, 1.0]",0.203613,61.8018,60.0,0.0,2048,6144,362.661,1088.0,83.648,474,107.537
6,553,1.853616,35392,106176,13.829,120.635,0.0004218721501206523,659.44,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.849364,0.448079,0.002441,0.439779,0.002441,0.118164,0.1,120.0869,120.0,"[0.1182, 0.2266, 0.311, 0.4146, 0.5259, 0.6226, 0.728, 0.8262, 0.9341, 1.0]",0.184082,64.2671,64.0,0.0,2048,6144,363.078,1089.2,97.478,553,125.604
7,632,1.852202,40448,121344,13.474,138.399,0.0003862025051031447,676.48,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.850989,0.444336,0.004395,0.449544,0.004395,0.20459,0.1,66.5732,59.0,"[0.2046, 0.4146, 0.6255, 0.7539, 0.8618, 0.959, 1.0, 1.0, 1.0, 1.0]",0.20459,61.6206,59.0,0.0,2048,6144,364.556,1093.7,110.951,632,142.984
8,711,1.851027,45504,136512,13.484,155.746,0.0003460459249261226,671.92,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.847955,0.442057,0.003418,0.451823,0.003418,0.190918,0.1,70.1953,62.0,"[0.1909, 0.4136, 0.5947, 0.728, 0.8262, 0.9341, 1.0, 1.0, 1.0, 1.0]",0.190918,63.0605,62.0,0.0,2048,6144,365.684,1097.1,124.435,711,160.287
9,790,1.850397,50560,151680,14.63,174.248,0.00030273016674001743,741.23,4131200,Salsa2-GatedUT,83a5a250b0388a96,789,1.845482,0.450684,0.005371,0.452474,0.005371,0.193359,0.1,69.2808,61.0,"[0.1934, 0.4141, 0.603, 0.7368, 0.835, 0.9414, 1.0, 1.0, 1.0, 1.0]",0.193359,62.9087,61.0,0.0,2048,6144,363.571,1090.7,139.065,790,178.773
